39,-1,-1,-1,-1,-1,-1,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23
39,-1,-1,-1,-1,-1,-1,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,39,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
39,-1,-1,-1,-1,-1,-1,35,24,36,36,36,36,36,36,36,36,36,36,36,36,36,22,23,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
39,-1,-1,-1,-1,-1,-1,52,35,36,36,36,36,36,36,36,36,36,36,36,36,36,22,54,-1,-1,-1,-1,-1,-1,49,66,83,-1,-1,-1,-1,-1,-1,-1
39,-1,-1,-1,-1,-1,-1,-1,35,36,36,36,36,36,36,36,36,36,36,36,36,36,39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,-1,18,57,57
39,-1,-1,-1,-1,-1,-1,18,58,36,36,36,36,36,36,36,36,36,36,36,36,36,39,-1,-1,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,36,36
39,-1,-1,-1,-1,-1,-1,52,24,36,36,36,36,36,36,36,36,36,36,36,36,36,39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,36,36
39,-1,-1,-1,-1,-1,-1,-1,35,36,36,36,36,36,36,36,36,36,36,36,36,36,39,-1,-1,-1,-1,-1,-1,-1,32,-1,-1,-1,-1,-1,18,58,36,36
39,-1,-1,-1,-1,-1,-1,-1,35,36,36,36,36,36,36,22,23,23,23,23,24,22,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,-1,52,24,36,36
39,-1,-1,-1,-1,-1,-1,-1,35,36,36,36,36,36,36,22,54,-1,-1,-1,52,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,36,36
39,-1,-1,-1,-1,-1,-1,-1,35,24,36,36,22,23,23,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,49,66,83,-1,-1,18,58,36,36
39,-1,-1,-1,-1,-1,-1,-1,52,41,36,36,22,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,52,24,24,36
39,-1,-1,-1,-1,-1,-1,-1,-1,41,36,22,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,49,83,-1,-1,-1,-1,-1,-1,-1,-1,51,52,41,36
39,-1,-1,-1,-1,-1,-1,-1,-1,52,23,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,36
39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,41,36
39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,24
39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,49,66,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,52,41
56,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,19,19,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41
36,37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,57,19,58,56,57,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41
36,56,20,-1,-1,-1,18,19,20,-1,-1,-1,-1,18,57,19,58,36,36,36,56,57,57,57,57,57,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41
56,57,57,57,57,57,57,28,57,57,57,57,57,57,58,36,36,36,36,36,36,36,36,36,36,56,57,57,57,57,20,-1,-1,-1,-1,-1,-1,-1,18,41
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,56,57,57,57,57,57,57,57,57,58,58
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
